year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20201101,12.5,22.6,4.5,3.4,2365
20201031,11.6,21.8,1,0,1943
20201030,10.7,21.1,4,0,1886
20201029,10.3,21.9,4.6,0,1760
20201028,13.8,22.9,0.3,0,1744
20201027,12.6,22.9,2.1,0,1681
20201026,11.9,22.8,3.5,0,1681
20201025,12,22.6,2.1,0,1675
20201024,9.6,19.9,3,0,1674
20201023,10.4,19.1,0.9,0,1664
20201022,13.6,21.6,3.9,0.8,1514
20201021,13.2,22.6,0.2,6.3,1513
20201020,13.3,24.9,1.6,0,1514
20201019,13.2,24,1,0,1516
20201018,12.5,23.3,2.7,0,1516
20201017,12.5,22.7,0.4,0.1,1471
20201016,11.8,20.8,1.5,0,1467
20201015,12.3,23,0.5,0,1472
20201014,12.9,23.2,1.7,0,1472
20201013,13.6,24.3,1.9,0,1478
20201012,16.3,26.1,5.8,0,1497
20201011,16,25.5,3.9,0,1497
20201010,16.5,25,5.8,0,1498
20201009,16.7,24.8,5.4,0,1500
20201008,16.6,24.6,5.5,0,1514
20201007,15.8,24.4,1.7,0,1586
20201006,13.8,24.6,0.9,0,1586
20201005,14.1,22.6,2,0,1584
20201004,18.3,27.5,5.8,0.4,1594
20201003,19.6,28.1,12.3,2.7,1590
20201002,19.5,27.7,11.4,0.2,1576
20201001,18.3,26.4,9.7,0,1571
20200930,18.1,27,7.5,1.2,1552
20200929,17.6,26.9,4,0,1541
20200928,17.5,26.9,3.1,0,1369
20200927,18.5,26.9,5.6,0.2,1358
20200926,18.7,26.5,9.5,0.4,1339
20200925,19.3,27.4,10.4,0.9,1323
20200924,19.4,27.7,10.9,0.7,1303
20200923,18.2,25,5.5,0.1,1275
20200922,17.8,25.6,3.7,0,1275
20200921,17.2,26,3,0,1274
20200920,18.3,27.8,5.5,0,1274
20200919,19.1,27.6,8.8,0.9,1274
20200918,19.6,26.8,10.1,0.9,1253
20200917,20.6,26.3,13.3,1.7,1255
20200916,21.3,28.3,14,3.2,1261
20200915,21.8,29.4,11.1,0,1261
20200914,20.9,29,11.8,0,1272
20200913,20.2,27.6,11.7,1.2,1273
20200912,19.9,28.4,12.1,9.2,1276
20200911,21,28.7,12.1,7.7,1276
20200910,22.2,30,12.8,0.7,1276
20200909,21.7,29.2,13.5,7.9,1288
20200908,23.5,30.7,15.6,0.3,1347
20200907,20.7,27.7,12.1,61.8,1349
20200906,20.1,26,12.4,14.1,1347
20200905,20.6,27.6,10.6,3.7,1346
20200904,22.8,30.9,11.6,0.1,1338
